"Mes_Año de Año","Departamento","MunicipioAS","Año","Regimen","Afiliados","Departamental","Municipal","Nacional","Personas","Poblacion_DANE","IdAfiliaciónSalud"
"diciembre de 2020","Cauca","Guachené","1/12/2020","Subsidiado","7337","0.862884348","0.596422634","0.977813594","7337","0","41"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Subsidiado","21315","0.862884348","1","0.977813594","21315","0","143"
"diciembre de 2020","Cauca","Guachené","1/12/2020","Poblacion","0","0.862884348","0.596422634","0.977813594","20099.8408","20100","238"
"diciembre de 2020","Cauca","Guachené","1/12/2020","Sisben II","0","0.862884348","0.596422634","0.977813594","0","0","244"
"diciembre de 2021","Cauca","Guachené","1/12/2021","Poblacion","0","0.875302817","0.604150811","0.990307386","20259.84205","20260","245"
"diciembre de 2020","Cauca","Guachené","1/12/2020","Sisben I","0","0.862884348","0.596422634","0.977813594","0","0","246"
"diciembre de 2020","Cauca","Guachené","1/12/2020","PPNA","0","0.862884348","0.596422634","0.977813594","0","0","247"
"diciembre de 2020","Cauca","Guachené","1/12/2020","Excepción","4","0.862884348","0.596422634","0.977813594","4","0","248"
"diciembre de 2020","Cauca","Guachené","1/12/2020","Contributivo","4647","0.862884348","0.596422634","0.977813594","4647","0","249"
"diciembre de 2022","Cauca","Guachené","1/12/2022","Poblacion","0","0.885333746","0.617506449","0.991153092","20420.83936","20421","250"
"diciembre de 2021","Cauca","Guachené","1/12/2021","Subsidiado","7367","0.875302817","0.604150811","0.990307386","7367","0","252"
"diciembre de 2021","Cauca","Guachené","1/12/2021","Sisben II","0","0.875302817","0.604150811","0.990307386","6","0","254"
"diciembre de 2021","Cauca","Guachené","1/12/2021","Sisben I","0","0.875302817","0.604150811","0.990307386","20","0","255"
"diciembre de 2021","Cauca","Guachené","1/12/2021","PPNA","0","0.875302817","0.604150811","0.990307386","1035","0","256"
"diciembre de 2021","Cauca","Guachené","1/12/2021","Excepción","3","0.875302817","0.604150811","0.990307386","3","0","257"
"diciembre de 2021","Cauca","Guachené","1/12/2021","Contributivo","4870","0.875302817","0.604150811","0.990307386","4870","0","258"
"diciembre de 2022","Cauca","Guachené","1/12/2022","Subsidiado","7812","0.885333746","0.617506449","0.991153092","7812","0","259"
"diciembre de 2022","Cauca","Guachené","1/12/2022","Sisben II","0","0.885333746","0.617506449","0.991153092","6","0","261"
"diciembre de 2022","Cauca","Guachené","1/12/2022","Sisben I","0","0.885333746","0.617506449","0.991153092","0","0","262"
"diciembre de 2022","Cauca","Guachené","1/12/2022","PPNA","0","0.885333746","0.617506449","0.991153092","1175","0","263"
"diciembre de 2022","Cauca","Guachené","1/12/2022","NOPPNA","0","0.885333746","0.617506449","0.991153092","2","0","264"
"diciembre de 2022","Cauca","Guachené","1/12/2022","Excepción","6","0.885333746","0.617506449","0.991153092","6","0","265"
"diciembre de 2022","Cauca","Guachené","1/12/2022","Contributivo","4792","0.885333746","0.617506449","0.991153092","4792","0","326"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Sisben II","0","0.862884348","1","0.977813594","0","0","591"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Sisben I","0","0.862884348","1","0.977813594","0","0","592"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","PPNA","0","0.862884348","1","0.977813594","0","0","593"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Excepción","881","0.862884348","1","0.977813594","881","0","594"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Contributivo","28789","0.862884348","1","0.977813594","28789","0","595"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Subsidiado","21195","0.875302817","1","0.990307386","21195","0","598"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Sisben II","0","0.875302817","1","0.990307386","57","0","599"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Sisben I","0","0.875302817","1","0.990307386","507","0","600"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","PPNA","0","0.875302817","1","0.990307386","9017","0","601"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Excepción","945","0.875302817","1","0.990307386","945","0","602"
"diciembre de 2020","Cauca","Puerto Tejada","1/12/2020","Poblacion","0","0.862884348","1","0.977813594","41959.16965","41959","603"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Contributivo","30254","0.875302817","1","0.990307386","30254","0","604"
"diciembre de 2021","Cauca","Puerto Tejada","1/12/2021","Poblacion","0","0.875302817","1","0.990307386","42293.66633","42294","605"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Poblacion","0","0.885333746","1","0.991153092","42630.16699","42630","606"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Subsidiado","23617","0.885333746","1","0.991153092","23617","0","607"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Sisben II","0","0.885333746","1","0.991153092","204","0","608"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Sisben I","0","0.885333746","1","0.991153092","0","0","609"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","PPNA","0","0.885333746","1","0.991153092","7665","0","610"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","NOPPNA","0","0.885333746","1","0.991153092","3","0","611"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Excepción","950","0.885333746","1","0.991153092","950","0","618"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Subsidiado","67289","0.862884348","0.943707531","0.977813594","67289","0","700"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Sisben II","0","0.862884348","0.943707531","0.977813594","0","0","701"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Sisben I","0","0.862884348","0.943707531","0.977813594","0","0","702"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","PPNA","0","0.862884348","0.943707531","0.977813594","0","0","703"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Excepción","2236","0.862884348","0.943707531","0.977813594","2236","0","704"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Contributivo","37550","0.862884348","0.943707531","0.977813594","37550","0","705"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Subsidiado","67763","0.875302817","0.960791266","0.990307386","67763","0","707"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Sisben II","0","0.875302817","0.960791266","0.990307386","71","0","708"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Sisben I","0","0.875302817","0.960791266","0.990307386","1048","0","709"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","PPNA","0","0.875302817","0.960791266","0.990307386","11394","0","711"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Excepción","2440","0.875302817","0.960791266","0.990307386","2440","0","712"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Contributivo","39690","0.875302817","0.960791266","0.990307386","39690","0","713"
"diciembre de 2020","Cauca","Santander De Quilichao","1/12/2020","Poblacion","0","0.862884348","0.943707531","0.977813594","113462.0594","113462","714"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Subsidiado","74869","0.885333746","0.997808991","0.991153092","74869","0","715"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Sisben II","0","0.885333746","0.997808991","0.991153092","74","0","716"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Sisben I","0","0.885333746","0.997808991","0.991153092","0","0","717"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","PPNA","0","0.885333746","0.997808991","0.991153092","28972","0","718"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","NOPPNA","0","0.885333746","0.997808991","0.991153092","1","0","719"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Excepción","2451","0.885333746","0.997808991","0.991153092","2451","0","720"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Contributivo","37715","0.885333746","0.997808991","0.991153092","37715","0","721"
"diciembre de 2021","Cauca","Santander De Quilichao","1/12/2021","Poblacion","0","0.875302817","0.960791266","0.990307386","114377.601","114378","722"
"diciembre de 2022","Cauca","Santander De Quilichao","1/12/2022","Poblacion","0","0.885333746","0.997808991","0.991153092","115287.5962","115288","737"
"diciembre de 2022","Cauca","Puerto Tejada","1/12/2022","Contributivo","28650","0.885333746","1","0.991153092","28650","0","833"
